Index	IsNull	IsMore	Name.zh-CN	Description.zh-CN	Name.en	Description.en
130			鱼肉	生鱼肉、熟鱼肉、腐鱼肉	Fish	Raw Fish, Cooked Fish, Rotten FIsh
131	TRUE					
132			云杉树叶	云杉树叶、高大云杉树叶、金合欢树叶、圣诞树	Spruce Leaves	Spruce Leaves, Tall Spruce Leaves, Mimosa Leaves, Christmas Tree
133			逻辑与门		Logic AND Gate	
134			电灯 关		Lightbulb Off	
135			电灯 开		Lightbulb On	
136			穿墙鹅卵石		Wire Through Cobblestone	
137			数模转换器		Digital To Analog Converter	
138			可调延时器		Adjustable Delay Gate	
139			火背景2		Fire Background 2	
140			岩浆4		Magma 4	
141			岩浆5		Magma 5	
142			岩浆6		Magma 6	
143	TRUE					
144	TRUE					
145	TRUE					
146	TRUE					
147			鸟蛋	海鸥、渡鸦、食火鸡、鸵鸟的蛋	Bird Egg	Egg of Seagull, Raven, Cassow, Ostrich
148			鸭蛋		Duck Egg	
149			逻辑或门		Logic OR Gate	
150			逻辑非门		Logic NOT Gate	
151			拉杆开关		Switch	
152			穿墙红砖		Wire Through Bricks	
153			模数转换器		Analog To Digital Converter	
154			活塞侧面		Side of Piston	
155			火背景3		Fire Background 3	
156			岩浆7		Magma 7	
157			岩浆8		Magma 8	
158			岩浆9		Magma 9	
159	TRUE					
160			腐坏食物表面		Surface of Rotten Food	
161			肉类	生肉、熟肉、腐肉	Raw Meat	Raw Meat, Cooked Meat, Rotten Meat
162	TRUE					
163			其他蛋	除海鸥、鸭子、渡鸦、食火鸡、鸵鸟以外全部蛋	Other Egg	Egg Besides of Seagull, Duck, Raven, Cassow, Ostrich
164	TRUE					
165			按钮		Button	
166			延时器		Delay Gate	
167			SR锁存器		SR Latch	
168			穿墙木板		Wire Through Planks	
169			4-LED		4-LED	
170			1-LED	1-LED、活塞底部	1-LED	1-LED、Bottom of Piston
171	TRUE					
172			水1		Water 1	
173			水2		Water 2	
174			水3		Water 3	
175	TRUE					
176			砂岩	砂岩及其台阶、板	Sandstone	Sandstone and its Staris, Slab
177			温度计		Thermometer	
178			指南针		Compass	
179			大孔雀石块		Malachite Block	
180			大铁块		Solid Iron Block	
181			大铜块		Solid Copper Block	
182			大钻石块	大钻石块、钻石制品	Solid Diamond Block	Solid Diamond Block, and diamond's products
183			电子雷管		Electric Detonator	
184			穿墙花岗岩		Wire Through Stone	
185			声音产生器		Sound Generator	
186			普通活塞头部		Piston Head	
187	TRUE					
188			水4		Water 4	
189			水5		Water 5	
190			水6		Water 6	
191	TRUE					
192	TRUE					
193			烟花		Fireworks	
194			火柴		Match	
195			这是什么？	有人能告诉我这是什么的材质吗？	What's This?	Could Any Body Tell Me What This Is?
196			羽毛		Feather	
197			绳子		String	
198			染料	染料、面粉	Pigment	Pigment, Flour
199			随机信号产生器		Random Generator	
200			逻辑异或门		Logic XOR Gate	
201			七段数码管		7-Segment Display	
202			粘性活塞头部		Pull Piston Head	
203	TRUE					
204			水7		Water 7	
205			水8		Water 8	
206			水9		Water 9	
207	TRUE					
208	TRUE					
209	TRUE					
210	TRUE					
211	TRUE					
212			柳条灯		Wicker Lamp	
213			帆布		Canvas	
214	TRUE					
215			火把		Torch	
216			穿墙半导体		Wire Through Semiconductor	
217			四位计数器		4-Bit Counter	
218			严格粘性活塞头部		Strict Pull Piston Head	
219	TRUE					
220	TRUE					
221	TRUE					
222	TRUE					
223	TRUE					
224	TRUE					
225			火药		Gunpowder	
226	TRUE					
227	TRUE					
228	TRUE					
229			单颗子弹	大子弹、小子弹	Musket Ball	Musket Ball, BuckshotBall
230			面包		Bread	
231			霰弹		Buckshot	
232			存储器		Memory Bank	
233			实时钟		Real Time Clock	
234	TRUE					
235	TRUE					
236	TRUE					
237	TRUE					
238	TRUE					
239	TRUE					
240	TRUE					
241	TRUE					
242	TRUE					
243	TRUE					
244	TRUE					
245	TRUE					
246	TRUE					
247	TRUE					
248	TRUE					
249	TRUE					
250	TRUE					
251	TRUE					
252	TRUE					
253	TRUE					
254	TRUE					
255	TRUE					
